X_mean,X_std,X_max,X_min,X_sum_sq,Y_mean,Y_std,Y_max,Y_min,Y_sum_sq,Z_mean,Z_std,Z_max,Z_min,Z_sum_sq,is_accelerometer,is_gyroscope,label,motion
0.2050812,0.28007674,1.420507,-0.743773,36.150383,-1.0201429,0.29750663,-0.305488,-2.223328,338.7605,-0.025559,0.3511488,0.618357,-1.865563,37.187626,1.0,0.0,0,SAFE — Medium Walking
0.122869454,0.22238415,0.934947,-0.35776502,19.365484,-1.019201,0.24959764,-0.554856,-1.853424,330.3209,0.012521266,0.25760645,0.871141,-1.6732911,19.95536,1.0,0.0,0,SAFE — Medium Walking
0.18072185,0.32428423,2.332579,-0.813557,41.346195,-1.0399947,0.27933738,-0.407968,-1.9480959,347.8855,-0.03853167,0.5210876,1.7724769,-3.450587,81.90508,1.0,0.0,0,SAFE — Medium Walking
0.1122766,0.2731373,2.053931,-0.862357,26.163008,-1.0310155,0.27391464,-0.447984,-1.852936,341.40665,0.019943746,0.5947338,1.1083089,-4.016179,106.2318,1.0,0.0,0,SAFE — Medium Walking
0.1556224,0.21429738,1.117947,-0.548573,21.04251,-1.0315572,0.17350338,-0.51093596,-1.633824,328.2641,-0.024002282,0.41966853,0.758413,-1.9856111,53.00934,1.0,0.0,0,SAFE — Medium Walking
0.14609174,0.27276728,1.075979,-0.29188502,28.723434,-1.0286129,0.28854108,-0.42455998,-2.0227602,342.39014,-0.0053818263,0.28252867,0.671549,-1.8426269,23.955423,1.0,0.0,0,SAFE — Medium Walking
0.15502052,0.27170524,1.7225789,-0.339221,29.356527,-1.0344608,0.24337761,-0.501176,-1.81048,338.80252,-0.014658707,0.3220862,0.637389,-3.232451,31.186317,1.0,0.0,0,SAFE — Medium Walking
0.1479982,0.25526834,1.9621869,-0.621285,26.119617,-1.0469259,0.25874242,-0.46604,-1.8451279,348.90045,0.015613561,0.6333623,1.8695891,-3.806339,120.417465,1.0,0.0,0,SAFE — Medium Walking
0.12246929,0.30563608,0.918355,-1.286429,32.523643,-1.0302721,0.29108167,-0.38112798,-1.9915279,343.85675,-0.011055639,0.48455793,1.230797,-2.450675,70.47558,1.0,0.0,0,SAFE — Medium Walking
0.13502066,0.2370848,1.105259,-0.313845,22.331936,-1.0237752,0.20625739,-0.638792,-1.679208,327.19733,-0.008306573,0.2775142,0.612501,-2.0612512,23.124935,1.0,0.0,0,SAFE — Medium Walking
0.14108486,0.16578597,0.91347504,-0.195261,14.216979,-0.36442703,0.6133922,0.42212,-1.402024,152.71712,0.5933096,0.5327024,1.7734531,-3.003579,190.73643,1.0,0.0,0,SAFE — Medium Walking
0.12528342,0.07594588,0.289323,0.008723,6.439114,0.3763814,0.045063265,0.47726402,0.243024,43.108093,0.91530174,0.035056006,1.004853,0.77012503,251.70186,1.0,0.0,0,SAFE — Medium Walking
0.6851252,0.49327096,1.859707,0.002867,213.81381,-0.10984229,0.37099856,0.636352,-0.88084006,44.91158,0.47660765,0.38949534,1.124413,-0.157563,113.65844,1.0,0.0,0,SAFE — Medium Walking Hand
1.0217395,0.3273713,1.5776429,0.343003,345.33704,-0.43006137,0.16345908,-0.107360005,-0.7198,63.5015,0.062224068,0.11799109,0.569557,-0.199043,5.3381195,1.0,0.0,0,SAFE — Medium Walking Hand
