window_id,dataset_name,danger_label,motion_description,x_mean,x_std,x_min,x_max,x_range,x_median,x_iqr,x_rms,y_mean,y_std,y_min,y_max,y_range,y_median,y_iqr,y_rms,z_mean,z_std,z_min,z_max,z_range,z_median,z_iqr,z_rms,mag_mean,mag_std,mag_min,mag_max,mag_range,mag_median,mag_iqr,mag_rms,xy_corr,xz_corr,yz_corr
2,light_vigorous_shaking,1,DANGER — Light Vigorous Shaking,-0.38560090694866667,0.487429940595013,-1.3968073,0.556765,1.9535723,-0.415738315,0.8463173255,0.6215110670198015,0.24044664440466665,0.10980306259138158,-0.057404924,0.5140441,0.571449024,0.24845641000000002,0.14890407000000003,0.26433180164314524,0.8321798267000001,0.09912248598528664,0.6140782,1.0916114,0.4775331999999999,0.83285325,0.13129097499999998,0.8380623671269015,1.0668355205769524,0.14268080115296414,0.734447258518969,1.582017211725227,0.8475699532062579,1.0439021269211293,0.1888001760932937,1.0763344456916488,0.7390467205639125,0.7794750885010454,0.5588729228811918
3,light_vigorous_shaking,1,DANGER — Light Vigorous Shaking,-0.3022278850803333,0.39418041970519097,-1.078457,0.6824961,1.7609531,-0.330487485,0.54935045475,0.4967090675627854,0.40237503426666665,0.09181302618538643,0.24575672,0.5989813,0.35322458,0.3902403,0.13552030250000002,0.412716973213387,0.8328165838333332,0.0945424398092605,0.48242778,1.0086013,0.5261735200000001,0.8401417,0.1464070675,0.8381656967646142,1.053814475797044,0.09514191300906165,0.8784400139064671,1.363221560854728,0.4847815469482609,1.0339185415176555,0.11894989392838784,1.0581006251819447,0.28548836748822337,0.5784877918174703,-0.4366644984351202
4,light_vigorous_shaking,1,DANGER — Light Vigorous Shaking,-0.042327503381333335,0.4662869470037434,-0.93151075,1.2711834,2.20269415,-0.08565616200000001,0.7102616625,0.46820415898256235,0.38337195788166667,0.17688996437123758,-0.081266284,0.8941891,0.975455384,0.40273693499999996,0.18357567000000002,0.4222133555268948,0.8479256716,0.12398359388267671,0.42563468,1.2915726,0.8659379200000001,0.8626264349999999,0.14006696499999993,0.8569421661409686,1.0539443926890468,0.1450184309097996,0.694160723224756,1.6809965957056274,0.9868358724808715,1.034515386697025,0.12897783647755912,1.0638745829204794,-0.29357823136887856,0.4098499160286163,-0.5969980543085417
5,light_vigorous_shaking,1,DANGER — Light Vigorous Shaking,-0.04702105356983333,0.22016395393587518,-0.41563123,0.37291023,0.78854146,-0.06852493000000001,0.4130118625,0.22512917645541924,0.45540685663333325,0.07642244656929569,0.31142133,0.61469007,0.30326874,0.45902527000000004,0.12585718749999997,0.4617746153788559,0.8815250134333333,0.04736895604502677,0.7718232,1.0147196,0.2428964,0.8824114700000001,0.07013096750000003,0.8827967870951017,1.0209673988641137,0.029574976954604038,0.9363422108062704,1.0851058506382312,0.14876363983196073,1.0189180394353206,0.04091376144690351,1.0213956671169209,-0.5334934082603433,0.3852038135748015,-0.7879207095336225
6,light_vigorous_shaking,1,DANGER — Light Vigorous Shaking,-0.128210962054,0.22097165662667487,-0.5002779,0.30989176,0.8101696600000001,-0.14056788,0.38228652249999995,0.25547313718500686,0.4461943303,0.0856549489973714,0.17100641,0.647117,0.47611059000000006,0.45000077,0.12011748,0.45434144723941683,0.8809311760333333,0.06221718006539545,0.73878443,1.0789617,0.34017727,0.88725254,0.07962966999999999,0.8831255371705439,1.025006419466149,0.031068134136182726,0.9047872329712123,1.1230367519647344,0.21824951899352207,1.0259276795506511,0.044913737371143014,1.0254771518203216,-0.5723565739108832,0.6287769879447888,-0.8208177211280226
7,light_vigorous_shaking,1,DANGER — Light Vigorous Shaking,-0.14126853125783334,0.23752986110066218,-0.668011,0.3360016,1.0040126,-0.11772368750000001,0.40760478499999997,0.2763643118028182,0.37478105503333337,0.11407883230564193,0.16591293,0.62610066,0.46018773,0.36780911,0.17488769999999998,0.3917586236346524,0.9078031512666667,0.07980255763329676,0.64803475,1.0623353,0.41430055,0.92947644,0.10980423750000001,0.9113040160421253,1.0292335129373587,0.03170863496734916,0.9351147857197101,1.1391858051367703,0.20407101941706018,1.025612295889765,0.04264483807605757,1.029721837043805,-0.7492130237052896,0.8344971342218437,-0.8650090243453565
8,light_vigorous_shaking,1,DANGER — Light Vigorous Shaking,-0.20081037484199998,0.22541830328712778,-0.6676133,0.19833991,0.86595321,-0.182830025,0.3896896488,0.30189106992594544,0.3228055038666667,0.0810823840176473,0.15245268,0.5543178,0.40186511999999996,0.316675425,0.11803343500000002,0.33283291051907377,0.9171019928666666,0.06121664945626511,0.7198177,1.0513223,0.33150460000000004,0.9285587,0.09008808499999998,0.919142830843315,1.0223972578659426,0.03799151253232615,0.9447424782782665,1.1432794696664823,0.1985369913882158,1.0200905168476542,0.052174287901987526,1.0231028823712172,-0.5235223255680822,0.7867095561184828,-0.7072116945271247
9,light_vigorous_shaking,1,DANGER — Light Vigorous Shaking,-0.13865561020698,0.21086107955287842,-0.54891837,0.2210694,0.76998777,-0.116140577,0.39136070149999996,0.25236436577313226,0.30836071249999997,0.1046378693094305,0.13143633,0.56074196,0.42930563,0.28690225999999996,0.173144,0.32563079201317113,0.9369560765666666,0.06007310504465754,0.78181136,1.045923,0.26411164,0.9522136,0.09782010499999994,0.9388799003945648,1.0249365990152426,0.02690020786493014,0.9624217921151296,1.0995119141013714,0.13709012198624182,1.0219426707199761,0.03899708768721477,1.0252895460230287,-0.7801677694132986,0.8616946894006018,-0.9038060793908361
10,light_vigorous_shaking,1,DANGER — Light Vigorous Shaking,-0.15915313141575335,0.20372823292827225,-0.5330108,0.22718768,0.76019848,-0.14387940999999999,0.3778545615,0.25852449039020736,0.3224327472333333,0.10510957221376636,0.15051012,0.5709442,0.42043408000000004,0.30581546,0.18190849500000003,0.33913256797216573,0.9306803855999999,0.060871311628765995,0.78620124,1.0471466,0.26094536,0.93625245,0.097430095,0.932668910557209,1.0250246155700207,0.03227452534762262,0.9412409173394488,1.1107263930585667,0.16948547571911787,1.0238642482412235,0.043088532948942104,1.0255325970006428,-0.8390793092493473,0.8514559867734417,-0.874518265910045
11,light_vigorous_shaking,1,DANGER — Light Vigorous Shaking,-0.1357577304709,0.23035950759760165,-0.5491172,0.2400361,0.7891533,-0.11308143,0.421068854,0.26738673138960917,0.2755136646333333,0.12961944139617715,0.018156048,0.5690017,0.550845652,0.25548481,0.2130926425,0.304481492027916,0.9447105085333336,0.06736402609476819,0.7669286,1.0745718,0.3076432,0.955020325,0.10908550000000006,0.9471092106747805,1.0296045613694416,0.033688978361041524,0.9469569740417804,1.115491801552683,0.16853482751090254,1.0283020509931458,0.04441154611541176,1.030155570802668,-0.8276715847278052,0.8582620570022225,-0.8842694390451555
